S.No,State,College Name,University,Management,Estb,Seats
17,Rajasthan,"Government Medical College, Kota",Rajasthan University of Health Sciences,State Govt.,1992,250
18,Rajasthan,"Government Medical College, Pali",Rajasthan University of Health Sciences,State Govt.,2018,150
19,Rajasthan,"Government Medical College, Sirohi",Rajasthan University of Health Sciences,State Govt.,2022,100
20,Rajasthan,"Government Medical College, Sri Ganganagar",Rajasthan University of Health Sciences,State Govt.,2022,100
21,Rajasthan,"Jawaharlal Nehru Medical College, Ajmer",Rajasthan University of Health Sciences,State Govt.,1965,250
22,Rajasthan,"Jhalawar Medical College, Jhalawar",Rajasthan University of Health Sciences,State Govt.,2008,200
23,Rajasthan,"R N T Medical College, Udaipur",Rajasthan University of Health Sciences,State Govt.,1961,250
24,Rajasthan,"RUHS College of Medical Sciences, Jaipur",Rajasthan University of Health Sciences,State Govt.,2014,150
25,Rajasthan,"Sardar Patel Medical College, Bikaner",Rajasthan University of Health Sciences,State Govt.,1959,250
26,Rajasthan,"Shri Kalyan Govt. Medical College, Sikar",Rajasthan University of Health Sciences,State Govt.,2020,100
27,Rajasthan,"SMS Medical College, Jaipur",Rajasthan University of Health Sciences,State Govt.,1947,250
28,Rajasthan,"Government Medical College, Baran",Rajasthan University of Health Sciences,State Govt.,2024,100
29,Rajasthan,"Government Medical College, Nagaur",Rajasthan University of Health Sciences,State Govt.,2024,100
30,Rajasthan,"Government Medical College, Jhunjhunu",Rajasthan University of Health Sciences,State Govt.,2024,100
31,Rajasthan,"Government Medical College, Sawai Madhopur",Rajasthan University of Health Sciences,State Govt.,2024,100
32,Rajasthan,"Government Medical College, Jaisalmer",Rajasthan University of Health Sciences,State Govt.,2025,50
33,Rajasthan,"Government medical college, Tonk",Rajasthan University of Health Sciences,State Govt.,2025,50
1,Tamil Nadu,"All India Institute of Medical Sciences, Madurai","Statutory Autonomous, AIIMS (Madurai)",Central Govt.,2020,50
2,Tamil Nadu,"Chengalpattu Medical College, Chengalpattu","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,1965,100
3,Tamil Nadu,"Coimbatore Medical College, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,1966,150
4,Tamil Nadu,"ESI-PGIMSR, ESI Hospital, K.K Nagar, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Central Govt.,2013,150
5,Tamil Nadu,"Government Medical College,Ariyalur","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2021,150
